featureIndex,featureKey,featureLabel,mean,std
0,artificial_intelligence_ethics_and_governance,Artificial Intelligence Ethics and Governance,0.6098335514498948,0.1261126711472482
1,applications_development,Applications Development,0.35619471358758886,0.3399166740151261
2,applications_integration,Applications Integration,0.3308750510692333,0.3414740041805025
3,agile_software_development,Agile Software Development,0.25782051747409895,0.29603138316426086
4,auditing_and_compliance,Auditing and Compliance,0.03373970366417301,0.045739596340262624
5,business_agility,Business Agility,0.4693788578758188,0.3299520636106304
6,business_continuity,Business Continuity,0.46837320986960296,0.33015937490674696
7,business_environment_analysis,Business Environment Analysis,0.09955132304780885,0.18813399207053483
8,business_innovation,Business Innovation,0.3894548757270861,0.33494002814018714
9,business_needs_analysis,Business Needs Analysis,0.5278587105770998,0.3263296488707966
10,business_negotiation,Business Negotiation,0.15309572740762908,0.24597246984588914
11,business_performance_management,Business Performance Management,0.25871004617882054,0.31058453546125436
12,business_process_re_engineering,Business Process Re-engineering,0.09227851819207072,0.18447274327746935
13,business_risk_management,Business Risk Management,0.2788147121232535,0.3156659338011988
14,business_requirements_mapping,Business Requirements Mapping,0.09639346554066232,0.18553468613633728
15,budgeting,Budgeting,0.34509728625029573,0.3407873613607439
16,cyber_and_data_breach_incident_management,Cyber and Data Breach Incident Management,0.3655204614278378,0.2667071501265432
17,continuous_integration_and_continuous_deployment,Continuous Integration and Continuous Deployment,0.29623097759217326,0.3176742281244089
18,cloud_computing,Cloud Computing,0.2974416085708514,0.3187324837660185
19,computational_modelling,Computational Modelling,0.19833151959169068,0.29019310446524327
20,change_management,Change Management,0.5307125187592673,0.28873359030732304
21,crisis_management,Crisis Management,0.10184897894690045,0.19197386408794398
22,configuration_tracking,Configuration Tracking,0.26679748317780005,0.2737179970076325
23,computer_vision_technology,Computer Vision Technology,0.32445035953370477,0.3498317084257555
24,cyber_risk_management,Cyber Risk Management,0.11125594423353219,0.2099484571703619
25,data_analytics,Data Analytics,0.3433570562038808,0.2939435854508389
26,database_administration,Database Administration,0.12829855288934952,0.21019181373158047
27,data_design,Data Design,0.1481255514646942,0.23899831582722647
28,data_ethics,Data Ethics,0.7168299653939728,0.1050506898047903
29,data_engineering,Data Engineering,0.258656043536214,0.27508172482421384
30,data_governance,Data Governance,0.11079588743926311,0.2094118422110998
31,data_migration,Data Migration,0.11490953252507388,0.1896331030073114
32,data_protection_management,Data Protection Management,0.13295224382011378,0.22619432905202852
33,disaster_recovery_management,Disaster Recovery Management,0.18413364405837773,0.2814670446982166
